"U284", "FM", "25", "433.550000", "433.550000", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"U285", "FM", "25", "433.562500", "433.562500", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"U286", "FM", "25", "433.575000", "433.575000", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"U287", "FM", "25", "433.587500", "433.587500", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"URSLJA GORA", "FM", "25", "431.775000", "439.375000", "-NULL-", "NORMAL", "Always", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"VOJSKO", "FM", "25", "431.625000", "439.225000", "SCAN-1", "NORMAL", "Always", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"ZAG. VRH", "DMR", "12.5", "430.950000", "438.550000", "SCAN-1", "NORMAL", "Always", "Low", "Low", "120", "0", "HIGH", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TG S5", "-S5-", "1", "NONE", "1", "1"
"ZAG. VRH-A", "FM", "25", "430.950000", "438.550000", "SCAN-1", "NORMAL", "Correct PL", "Low", "Low", "120", "0", "HIGH", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"ZAG. VRH-L", "DMR", "12.5", "430.950000", "438.550000", "SCAN-1", "NORMAL", "Always", "Low", "Low", "120", "0", "HIGH", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TG Local/Refl.", "-S5-", "1", "NONE", "1", "2"
"ZG. KOCJAN", "FM", "25", "431.125000", "438.725000", "SCAN-1", "NORMAL", "Always", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
